#! res.bias res.work
1957.500000 177.874871 0.001850
1960.000000 179.841373 0.008858
1962.500000 180.077686 0.009978
1965.000000 179.160595 0.001329
1967.500000 178.472715 0.010867
1970.000000 178.318668 0.002161
1972.500000 179.077767 0.000836
1975.000000 181.050125 0.001911
1977.500000 180.732657 0.001142
1980.000000 178.746009 0.000390
1982.500000 181.932665 0.000198
1985.000000 183.945471 0.000547
1987.500000 185.926208 0.000561
1990.000000 185.751383 0.000398
1992.500000 189.520249 0.000538
1995.000000 191.630291 0.000476
1997.500000 192.441492 0.008241
2000.000000 191.962126 0.001969
2002.500000 188.420667 0.012859
2005.000000 185.675504 0.001725
2007.500000 186.970864 0.000813
2010.000000 186.662631 0.000169
2012.500000 188.044598 0.000189
2015.000000 188.406907 0.000228
2017.500000 189.944024 0.000368
2020.000000 186.426664 0.002124
2022.500000 186.645569 0.012642
2025.000000 187.357930 0.016674
2027.500000 187.389792 0.013954
2030.000000 191.838844 0.061215
2032.500000 187.606312 0.020189
2035.000000 186.402094 0.018905
2037.500000 187.395457 0.005639
2040.000000 187.078153 0.002769
2042.500000 187.134739 0.002429
2045.000000 188.344252 0.007821
2047.500000 188.636935 0.005338
2050.000000 190.324467 0.004510
2052.500000 189.724080 0.000434
2055.000000 191.258559 0.001508
2057.500000 196.835100 0.000948
2060.000000 198.453614 0.000848
2062.500000 198.456801 0.000726
2065.000000 195.500044 0.000545
2067.500000 193.995051 0.000195
2070.000000 194.834545 0.000069
2072.500000 193.525689 0.000106
2075.000000 195.490216 0.000153
2077.500000 196.293030 0.000065
2080.000000 198.881360 0.000762
2082.500000 196.924800 0.000186
2085.000000 193.641225 0.000385
2087.500000 198.459106 0.000462
2090.000000 198.938432 0.000331
2092.500000 200.618754 0.001402
2095.000000 204.611065 0.001610
2097.500000 203.863857 0.000129
2100.000000 203.340517 0.000648
2102.500000 202.858463 0.000684
2105.000000 200.288290 0.000262
2107.500000 198.538096 0.000785
2110.000000 201.915857 0.000935
2112.500000 201.510278 0.001863
2115.000000 201.155518 0.000689
2117.500000 205.927466 0.004271
2120.000000 203.184675 0.001707
2122.500000 200.707784 0.000592
2125.000000 205.080681 0.001408
2127.500000 202.791602 0.000665
2130.000000 204.906935 0.000291
2132.500000 203.346267 0.000134
2135.000000 204.061720 0.000241
2137.500000 206.452923 0.000202
2140.000000 205.824602 0.000936
2142.500000 206.834403 0.001902
2145.000000 206.368552 0.000127
2147.500000 207.645400 0.000443
2150.000000 204.124162 0.000841
2152.500000 201.737452 0.000764
2155.000000 202.820842 0.000494
2157.500000 201.069652 0.000270
2160.000000 199.720449 0.000225
2162.500000 199.109506 0.000403
2165.000000 202.647355 0.000150
2167.500000 206.518012 0.000138
2170.000000 206.590358 0.000141
2172.500000 207.413002 0.000420
2175.000000 204.737361 0.000383
2177.500000 207.965343 0.000291
2180.000000 210.735466 0.000648
2182.500000 214.112023 0.000579
2185.000000 212.940624 0.000422
2187.500000 210.535631 0.000333
2190.000000 210.436708 0.000521
2192.500000 211.567378 0.004796
2195.000000 212.005225 0.002471
2197.500000 214.335100 0.002009
2200.000000 214.103809 0.000779
2202.500000 209.540322 0.000422
2205.000000 207.894613 0.000245
2207.500000 207.138984 0.000142
2210.000000 206.890249 0.000209
2212.500000 203.721444 0.000183
2215.000000 203.464874 0.000195
2217.500000 204.362165 0.001072
2220.000000 206.372327 0.000661
2222.500000 209.651587 0.000702
2225.000000 207.608453 0.001277
2227.500000 206.797426 0.001274
2230.000000 208.213480 0.006788
2232.500000 211.180285 0.019480
2235.000000 211.511003 0.031671
2237.500000 211.749062 0.008693
